Mt	Mk	Lk	Jn
8	2	7	10
11	4	10	6
11	4	10	12
11	4	10	14
11	4	10	28
14	5	13	15
23	27	17	46
23	27	34	46
23	27	45	46
70	20	37	38
87	139	250	141
87	139	250	146
98	96	116	40
98	96	116	111
98	96	116	120
98	96	116	129
98	96	116	131
98	96	116	144
133	37	77	109
141	50	19	59
142	51	21	35
147	64	93	49
166	82	94	74
209	119	234	100
211	121	238	21
220	122	239	77
220	129	242	85
220	129	261	88
244	139	250	141
244	139	250	146
274	156	260	20
274	156	260	48
274	156	260	96
276	158	74	98
280	162	269	122
284	165	266	55
284	165	266	63
284	165	266	65
284	165	266	67
289	170	275	126
291	172	279	156
294	175	281	161
295	176	282	42
295	176	282	57
300	181	285	79
300	181	285	158
302	183	287	160
304	184	289	170
306	187	290	162
306	187	290	174
310	191	297	69
313	194	294	172
314	195	291	166
314	195	291	168
315	196	292	175
318	199	300	176
320	200	302	178
320	200	302	180
325	204	310	184
326	205	311	188
326	205	313	194
328	206	314	196
331	209	315	197
332	210	318	197
334	212	321	201
335	214	324	199
336	215	317	198
336	215	319	198
343	223	329	204
348	227	332	206
349	228	333	208
352	231	336	209
352	231	336	211
