Mt	Mk	Lk
15	6	15
21	10	32
31	102	185
32	39	79
32	39	133
50	41	56
62	13	4
62	13	24
63	18	33
67	15	26
69	47	83
71	21	38
72	22	39
72	22	186
73	23	40
74	49	85
76	52	169
79	29	86
80	30	44
82	53	87
82	53	110
83	54	87
83	54	112
85	55	88
85	55	114
88	141	148
88	141	251
92	40	80
94	86	97
94	86	146
103	1	70
114	24	41
116	25	42
116	25	165
116	25	177
121	32	127
122	33	129
123	34	147
130	35	82
131	36	76
135	38	78
137	44	167
143	57	90
144	59	12
149	66	35
149	66	43
153	69	36
164	79	144
168	83	95
168	83	206
170	85	96
172	87	98
174	91	99
176	93	101
178	95	102
178	95	217
179	99	197
190	105	195
192	106	216
193	107	121
193	107	218
194	108	152
194	108	219
195	109	220
198	110	221
199	111	173
201	112	222
203	114	270
205	116	224
206	117	232
208	118	233
217	127	240
219	128	241
223	130	243
225	134	245
226	133	244
229	135	137
229	135	246
242	137	237
242	137	248
243	138	249
248	143	209
248	143	253
249	144	254
251	146	255
253	148	204
258	150	257
259	151	258
264	155	156
269	154	228
271	42	230
278	160	263
281	163	268
285	166	265
285	166	267
296	177	280
296	177	284
301	182	286
308	189	305
312	193	299
316	197	293
317	198	295
322	202	309
338	218	322
339	219	325
340	220	327
342	222	323
344	224	328
346	225	330
353	232	337
354	233	338
