Mt	Lk
3	2
10	8
12	11
16	16
24	46
27	48
28	47
30	49
34	194
36	162
38	53
40	52
41	55
43	123
46	153
47	134
48	191
49	150
51	59
53	125
54	54
55	170
57	61
58	60
60	171
61	64
65	172
66	66
68	105
78	108
84	111
86	109
93	145
95	160
96	182
96	184
102	69
104	71
105	193
107	73
108	115
110	118
119	126
125	62
127	128
128	132
129	130
132	81
134	120
138	168
156	57
158	226
162	161
175	200
182	187
182	189
183	198
187	199
197	272
213	235
221	181
228	139
231	179
231	215
232	142
234	136
236	135
237	138
238	140
240	141
241	175
255	202
256	205
257	213
261	207
262	212
265	157
266	155
266	157
267	158
270	229
272	231
